AssemblyConfigName,Component,ConfigName,FeatureName,FeatureType,DimFullName,Value_mm,Value_in,Tolerance_Type,IsDriven,IsLinked,IsGlobalVar,EquationOrComment
Default,SAM-000_MasterLayout-1,Default,Sketch1,ProfileFeature,D1@Sketch1@SAM-000_MasterLayout.Part,650.0114,25.5910,N/A,TRUE,FALSE,FALSE,
Default,SAM-000_MasterLayout-1,Default,Sketch1,ProfileFeature,D2@Sketch1@SAM-000_MasterLayout.Part,150.0124,5.9060,N/A,TRUE,FALSE,FALSE,
Default,SAM-000_MasterLayout-1,Default,Sketch1,ProfileFeature,D4@Sketch1@SAM-000_MasterLayout.Part,50.0126,1.9690,N/A,TRUE,FALSE,FALSE,
Default,SAM-000_MasterLayout-1,Default,Sketch1,ProfileFeature,D5@Sketch1@SAM-000_MasterLayout.Part,810.0060,31.8900,N/A,TRUE,FALSE,FALSE,
Default,SAM-000_MasterLayout-1,Default,Sketch1,ProfileFeature,D3@Sketch1@SAM-000_MasterLayout.Part,17.4533,0.6871,N/A,TRUE,FALSE,FALSE,
Default,SAM-000_MasterLayout-1,Default,Sketch1,ProfileFeature,D6@Sketch1@SAM-000_MasterLayout.Part,304.8000,12.0000,N/A,FALSE,FALSE,FALSE,
Default,SAM-000_MasterLayout-1,Default,Sketch1,ProfileFeature,D7@Sketch1@SAM-000_MasterLayout.Part,127.0000,5.0000,N/A,FALSE,FALSE,FALSE,
Default,SAM-000_MasterLayout-1,Default,Sketch1,ProfileFeature,D8@Sketch1@SAM-000_MasterLayout.Part,1221.7305,48.0996,N/A,FALSE,FALSE,FALSE,
Default,SAM-000_MasterLayout-1,Default,Sketch1,ProfileFeature,D9@Sketch1@SAM-000_MasterLayout.Part,580.0090,22.8350,N/A,TRUE,FALSE,FALSE,
Default,SAM-000_MasterLayout-1,Default,Neck_Face,ProfileFeature,D1@Neck_Face@SAM-000_MasterLayout.Part,37.9984,1.4960,N/A,TRUE,FALSE,FALSE,
Default,SAM-000_MasterLayout-1,Default,Soundboard_Face,ProfileFeature,D1@Soundboard_Face@SAM-000_MasterLayout.Part,150.0124,5.9060,N/A,TRUE,FALSE,FALSE,
Default,SAM-000_MasterLayout-1,Default,[Equation 0],Equation,,,,,,,FALSE,'====================================================================
Default,SAM-000_MasterLayout-1,Default,[Equation 1],Equation,,,,,,,FALSE,'  Convert: 1 in = 25.4 mm exactly.
Default,SAM-000_MasterLayout-1,Default,[Equation 2],Equation,,,,,,,TRUE,"""body_length_in""     = 25.591    'BM 121198 anchor for SAM-13-ROOT (650 mm)"
Default,SAM-000_MasterLayout-1,Default,[Equation 3],Equation,,,,,,,TRUE,"""body_width_in""      = 5.906     'BM 121198 anchor (150 mm)"
Default,SAM-000_MasterLayout-1,Default,[Equation 4],Equation,,,,,,,TRUE,"""body_depth_in""      = 5.906     'estimated from photo; refine when supplemental measurement arrives (150 mm, 140 to 170 range)"
Default,SAM-000_MasterLayout-1,Default,[Equation 5],Equation,,,,,,,TRUE,"""instrument_height_in"" = 31.890  'top of gold cap to bottom of body, BM anchor (810 mm)"
Default,SAM-000_MasterLayout-1,Default,[Equation 6],Equation,,,,,,,TRUE,"""string_count""       = 13        '13 / 19 / 25 for family variants"
Default,SAM-000_MasterLayout-1,Default,[Equation 7],Equation,,,,,,,TRUE,"""f_min_hz""           = 196.0     'G3, lowest string (SAM-13-ROOT G-major build target)"
Default,SAM-000_MasterLayout-1,Default,[Equation 8],Equation,,,,,,,TRUE,"""f_max_hz""           = 1318.5    'INCONSISTENCY FLAG: comment says E6, schedule only goes to E5 (659.3 Hz)"
Default,SAM-000_MasterLayout-1,Default,[Equation 9],Equation,,,,,,,TRUE,"""string_len_max_in""  = 22.835    'longest speaking length, bass (580 mm)"
Default,SAM-000_MasterLayout-1,Default,[Equation 10],Equation,,,,,,,TRUE,"""string_len_min_in""  = 7.874     'shortest speaking length, treble (200 mm)"
Default,SAM-000_MasterLayout-1,Default,[Equation 11],Equation,,,,,,,TRUE,"""length_freq_exponent"" = 0.85    'k in L_n = L_min * (f_max/f_n)^k. 0.7 to 0.9 typical for harps."
Default,SAM-000_MasterLayout-1,Default,[Equation 12],Equation,,,,,,,TRUE,"""slimness""           = ""body_length_in"" / ""body_width_in""      'about 4.33 for root"
Default,SAM-000_MasterLayout-1,Default,[Equation 13],Equation,,,,,,,TRUE,"""scale_factor""       = ""body_length_in"" / 25.591               '1.00 root, 1.31 mid-19, 1.62 concert-25"
Default,SAM-000_MasterLayout-1,Default,[Equation 14],Equation,,,,,,,TRUE,"""hull_wall_in""       = 0.236     'CNC hull wall thickness (6 mm)"
Default,SAM-000_MasterLayout-1,Default,[Equation 15],Equation,,,,,,,TRUE,"""soundboard_thickness_in"" = 0.118 'spruce / cedar default; Wolfram sweep 0.098 to 0.157 (2.5 to 4 mm)"
